 ,Label,Area,Mean,Mode,MinThr,MaxThr
1,1+1'+4+4'-[Cy5].tif:1683-1806,2.377,8412.016,4293,0,26000
2,1+1'+4+4'-[Cy5].tif:1692-1986,2.375,12409.577,11663,0,26000
3,1+1'+4+4'-[Cy5].tif:1848-1794,2.371,11707.118,7693,0,26000
4,1+1'+4+4'-[Cy5].tif:1827-1956,2.378,15937.183,15562,0,26000
5,1+1'+4+4'-[Cy5].tif:1611-1254,2.274,15630.828,18867,0,26000
6,1+1'+4+4'-[Cy5].tif:1617-1455,2.329,13617.366,17914,0,26000
7,1+1'+4+4'-[Cy5].tif:1755-1260,2.318,20109.325,20975,0,26000
8,1+1'+4+4'-[Cy5].tif:1758-1437,2.316,17385.818,16292,0,26000
9,1+1'+4+4'-[Cy5].tif:1623-0807,2.349,10745.243,2805,0,26000
10,1+1'+4+4'-[Cy5].tif:1629-0975,2.354,13418.260,12348,0,26000
11,1+1'+4+4'-[Cy5].tif:1833-0777,2.340,10362.800,4638,0,26000
12,1+1'+4+4'-[Cy5].tif:1797-0954,2.346,14031.238,17274,0,26000
13,1+1'+4+4'-[Cy5].tif:1587-0234,2.366,13273.801,13101,0,26000
14,1+1'+4+4'-[Cy5].tif:1611-0447,2.357,13543.334,13119,0,26000
15,1+1'+4+4'-[Cy5].tif:1797-0246,2.190,14083.031,19968,0,26000
16,1+1'+4+4'-[Cy5].tif:1788-0426,2.192,18491.901,19919,0,26000
17,1+1'+4+4'-[Cy5].tif:1128-1764,2.376,16492.332,16093,0,26000
18,1+1'+4+4'-[Cy5].tif:1152-2031,2.083,15415.077,14094,0,26000
19,1+1'+4+4'-[Cy5].tif:1359-1791,2.272,12048.347,15763,0,26000
20,1+1'+4+4'-[Cy5].tif:1347-1989,2.378,12833.082,13902,0,26000
21,1+1'+4+4'-[Cy5].tif:1146-1236,2.136,17284.852,17667,0,26000
22,1+1'+4+4'-[Cy5].tif:1161-1434,2.361,18942.088,20301,0,26000
23,1+1'+4+4'-[Cy5].tif:1287-1224,2.068,18064.714,16893,0,26000
24,1+1'+4+4'-[Cy5].tif:1311-1431,2.226,13241.283,15115,0,26000
25,1+1'+4+4'-[Cy5].tif:1143-0723,2.332,15124.922,18558,0,26000
26,1+1'+4+4'-[Cy5].tif:1161-0951,2.168,16664.996,15894,0,26000
27,1+1'+4+4'-[Cy5].tif:1290-0753,2.359,8851.281,5083,0,26000
28,1+1'+4+4'-[Cy5].tif:1299-0948,2.195,13779.985,17500,0,26000
29,1+1'+4+4'-[Cy5].tif:1137-0228,2.336,16621.268,15899,0,26000
30,1+1'+4+4'-[Cy5].tif:1158-0465,2.322,17254.325,16465,0,26000
31,1+1'+4+4'-[Cy5].tif:1323-0240,2.355,8516.209,4550,0,26000
32,1+1'+4+4'-[Cy5].tif:1305-0432,2.324,10379.391,5991,0,26000
33,1+1'+4+4'-[Cy5].tif:0639-1743,2.201,14293.297,13912,0,26000
34,1+1'+4+4'-[Cy5].tif:0663-1941,2.377,14711.200,13954,0,26000
35,1+1'+4+4'-[Cy5].tif:0780-1734,1.728,16525.825,14124,0,26000
36,1+1'+4+4'-[Cy5].tif:0780-1914,2.156,13415.333,12932,0,26000
