 ,Label,Area,Mean,Mode,MinThr,MaxThr
1,leaves 3  4-[Cy5].tif:0643-1830,2.198,18852.559,17788,0,26000
2,leaves 3  4-[Cy5].tif:0658-2043,2.160,16740.894,15771,0,26000
3,leaves 3  4-[Cy5].tif:0808-1833,2.266,17888.530,18850,0,26000
4,leaves 3  4-[Cy5].tif:0796-2016,2.125,17321.272,16335,0,26000
5,leaves 3  4-[Cy5].tif:0682-1218,1.836,15457.747,18299,0,26000
6,leaves 3  4-[Cy5].tif:0712-1422,1.712,22158.143,22321,0,26000
7,leaves 3  4-[Cy5].tif:0829-1194,1.430,20361.939,22657,0,26000
8,leaves 3  4-[Cy5].tif:0850-1377,2.347,11956.660,24968,0,26000
9,leaves 3  4-[Cy5].tif:0706-0681,1.918,20419.484,22164,0,26000
10,leaves 3  4-[Cy5].tif:0730-0885,2.285,21423.901,20949,0,26000
11,leaves 3  4-[Cy5].tif:0811-0648,1.887,20480.106,19562,0,26000
12,leaves 3  4-[Cy5].tif:0868-0831,2.180,19147.701,19370,0,26000
13,leaves 3  4-[Cy5].tif:0682-0195,2.272,13456.283,19986,0,26000
14,leaves 3  4-[Cy5].tif:0685-0408,2.086,20562.330,17945,0,26000
15,leaves 3  4-[Cy5].tif:0799-0234,2.292,19347.416,19248,0,26000
16,leaves 3  4-[Cy5].tif:0832-0405,2.057,14009.624,17335,0,26000
17,leaves 3  4-[Cy5].tif:0124-1809,2.169,18653.711,18532,0,26000
18,leaves 3  4-[Cy5].tif:0166-2055,2.826,13936.574,15691,0,26000
19,leaves 3  4-[Cy5].tif:0337-1833,3.468,9109.567,2593,0,26000
20,leaves 3  4-[Cy5].tif:0349-2028,2.172,11196.242,4069,0,26000
21,leaves 3  4-[Cy5].tif:0160-1233,1.905,22910.546,23690,0,26000
22,leaves 3  4-[Cy5].tif:0190-1497,1.944,19374.758,18633,0,26000
23,leaves 3  4-[Cy5].tif:0331-1257,2.084,14778.082,21253,0,26000
24,leaves 3  4-[Cy5].tif:0361-1425,2.014,21418.684,20868,0,26000
25,leaves 3  4-[Cy5].tif:0214-0726,2.276,20079.243,20949,0,26000
26,leaves 3  4-[Cy5].tif:0268-0912,2.251,13833.190,16198,0,26000
27,leaves 3  4-[Cy5].tif:0349-0735,2.194,14953.900,18933,0,26000
28,leaves 3  4-[Cy5].tif:0382-0855,2.078,20947.414,23209,0,26000
29,leaves 3  4-[Cy5].tif:0184-0222,1.966,16962.343,15190,0,26000
30,leaves 3  4-[Cy5].tif:0223-0468,2.252,11919.505,15222,0,26000
31,leaves 3  4-[Cy5].tif:0352-0240,2.288,9244.383,2420,0,26000
32,leaves 3  4-[Cy5].tif:0364-0429,1.955,17167.375,15318,0,26000
33,leaves 3  4-[Cy5].tif:0901-1923,2.604,10566.844,1676,0,26000
34,leaves 3  4-[Cy5].tif:0943-1293,2.159,7083.807,3184,0,26000
35,leaves 3  4-[Cy5].tif:0934-0723,2.122,8918.541,2708,0,26000
36,leaves 3  4-[Cy5].tif:0895-0312,1.964,7664.425,5222,0,26000
37,leaves 3  4-[Cy5].tif:0433-1941,2.289,5494.596,4305,0,26000
38,leaves 3  4-[Cy5].tif:0433-1332,1.365,10232.022,3373,0,26000
39,leaves 3  4-[Cy5].tif:0445-0783,1.223,11566.689,6073,0,26000
40,leaves 3  4-[Cy5].tif:0451-0327,1.994,5978.709,4837,0,26000
