 ,Label,Area,Mean,Mode,MinThr,MaxThr
1,20190403 leaves4 4'-[Cy5].tif:0189-0342,3.711,15513.323,13774,0,26000
2,20190403 leaves4 4'-[Cy5].tif:0270-0651,3.355,16136.451,21261,0,26000
3,20190403 leaves4 4'-[Cy5].tif:0423-0303,3.759,18300.642,17974,0,26000
4,20190403 leaves4 4'-[Cy5].tif:0504-0639,3.754,18868.015,16961,0,26000
5,20190403 leaves4 4'-[Cy5].tif:0222-1125,3.136,18136.799,19188,0,26000
6,20190403 leaves4 4'-[Cy5].tif:0348-1476,3.712,13392.232,14336,0,26000
7,20190403 leaves4 4'-[Cy5].tif:0471-1107,3.752,13271.751,17707,0,26000
8,20190403 leaves4 4'-[Cy5].tif:0564-1410,3.458,18653.013,17457,0,26000
9,20190403 leaves4 4'-[Cy5].tif:0792-1659,3.085,17389.956,16637,0,26000
10,20190403 leaves4 4'-[Cy5].tif:0801-2058,3.925,13090.370,19877,0,26000
11,20190403 leaves4 4'-[Cy5].tif:1050-1668,3.834,18522.271,20419,0,26000
12,20190403 leaves4 4'-[Cy5].tif:1107-1980,3.246,16119.932,15513,0,26000
13,20190403 leaves4 4'-[Cy5].tif:0912-0867,2.064,20101.729,20401,0,26000
14,20190403 leaves4 4'-[Cy5].tif:0984-1170,3.632,13359.590,14241,0,26000
15,20190403 leaves4 4'-[Cy5].tif:1134-0867,3.250,16572.692,19891,0,26000
16,20190403 leaves4 4'-[Cy5].tif:1215-1161,2.686,20980.402,21127,0,26000
17,20190403 leaves4 4'-[Cy5].tif:1047-0186,3.790,8096.391,3719,0,26000
18,20190403 leaves4 4'-[Cy5].tif:0942-0495,3.742,17663.567,18428,0,26000
19,20190403 leaves4 4'-[Cy5].tif:1188-0252,3.691,16204.292,17673,0,26000
20,20190403 leaves4 4'-[Cy5].tif:1146-0501,2.650,10344.335,7331,0,26000
21,20190403 leaves4 4'-[Cy5].tif:1473-1794,3.494,18727.845,16825,0,26000
22,20190403 leaves4 4'-[Cy5].tif:1494-2163,3.380,17069.490,15516,0,26000
23,20190403 leaves4 4'-[Cy5].tif:1740-1830,3.381,18824.566,18193,0,26000
24,20190403 leaves4 4'-[Cy5].tif:1785-2103,3.941,17987.046,21052,0,26000
25,20190403 leaves4 4'-[Cy5].tif:1608-0891,3.708,16170.918,18483,0,26000
26,20190403 leaves4 4'-[Cy5].tif:1614-1146,3.293,18903.253,16719,0,26000
27,20190403 leaves4 4'-[Cy5].tif:1764-0903,1.682,18680.883,18476,0,26000
28,20190403 leaves4 4'-[Cy5].tif:1767-1122,3.346,16479.286,20361,0,26000
29,20190403 leaves4 4'-[Cy5].tif:1581-0225,3.536,18126.793,22732,0,26000
30,20190403 leaves4 4'-[Cy5].tif:1605-0531,3.339,19576.646,19367,0,26000
31,20190403 leaves4 4'-[Cy5].tif:1791-0234,3.681,20123.132,19524,0,26000
32,20190403 leaves4 4'-[Cy5].tif:1779-0510,3.538,15514.466,24327,0,26000
33,20190403 leaves4 4'-[Cy5].tif:0618-0417,3.891,11899.380,16801,0,26000
34,20190403 leaves4 4'-[Cy5].tif:0657-1227,3.356,10504.017,3930,0,26000
35,20190403 leaves4 4'-[Cy5].tif:1194-1833,3.956,12454.628,15364,0,26000
36,20190403 leaves4 4'-[Cy5].tif:1323-1035,3.887,9563.803,5245,0,26000
37,20190403 leaves4 4'-[Cy5].tif:1254-0372,4.118,8907.942,4761,0,26000
38,20190403 leaves4 4'-[Cy5].tif:1902-1992,3.397,16833.555,22865,0,26000
39,20190403 leaves4 4'-[Cy5].tif:1863-1023,3.928,10611.445,14996,0,26000
40,20190403 leaves4 4'-[Cy5].tif:1902-0366,3.634,14842.715,24646,0,26000
