 ;Label;rep;construct;leaf
1;20190403 leaves1 1'-[Cy5];1;N;1'
2;20190403 leaves1 1'-[Cy5];1;M;1'
3;20190403 leaves1 1'-[Cy5];1;B;1'
4;20190403 leaves1 1'-[Cy5];1;A;1'
5;20190403 leaves1 1'-[Cy5];1;N;1'
6;20190403 leaves1 1'-[Cy5];1;M;1'
7;20190403 leaves1 1'-[Cy5];1;B;1'
8;20190403 leaves1 1'-[Cy5];1;A;1'
9;20190403 leaves1 1'-[Cy5];1;N;1'
10;20190403 leaves1 1'-[Cy5];1;M;1'
11;20190403 leaves1 1'-[Cy5];1;B;1'
12;20190403 leaves1 1'-[Cy5];1;A;1'
13;20190403 leaves1 1'-[Cy5];1;N;1'
14;20190403 leaves1 1'-[Cy5];1;M;1'
15;20190403 leaves1 1'-[Cy5];1;B;1'
16;20190403 leaves1 1'-[Cy5];1;A;1'
17;20190403 leaves1 1'-[Cy5];1;B;1
18;20190403 leaves1 1'-[Cy5];1;A;1
19;20190403 leaves1 1'-[Cy5];1;N;1
20;20190403 leaves1 1'-[Cy5];1;M;1
21;20190403 leaves1 1'-[Cy5];1;B;1
22;20190403 leaves1 1'-[Cy5];1;A;1
23;20190403 leaves1 1'-[Cy5];1;N;1
24;20190403 leaves1 1'-[Cy5];1;M;1
25;20190403 leaves1 1'-[Cy5];1;B;1
26;20190403 leaves1 1'-[Cy5];1;A;1
27;20190403 leaves1 1'-[Cy5];1;N;1
28;20190403 leaves1 1'-[Cy5];1;M;1
29;20190403 leaves1 1'-[Cy5];1;B;1
30;20190403 leaves1 1'-[Cy5];1;A;1
31;20190403 leaves1 1'-[Cy5];1;N;1
32;20190403 leaves1 1'-[Cy5];1;M;1
33;20190403 leaves1 1'-[Cy5];1;O;1'
34;20190403 leaves1 1'-[Cy5];1;O;1'
35;20190403 leaves1 1'-[Cy5];1;O;1'
36;20190403 leaves1 1'-[Cy5];1;O;1'
37;20190403 leaves1 1'-[Cy5];1;O;1
38;20190403 leaves1 1'-[Cy5];1;O;1
39;20190403 leaves1 1'-[Cy5];1;O;1
40;20190403 leaves1 1'-[Cy5];1;O;1
1;20190403 leaves4 4'-[Cy5];1;M;4'
2;20190403 leaves4 4'-[Cy5];1;A;4'
3;20190403 leaves4 4'-[Cy5];1;L;4'
4;20190403 leaves4 4'-[Cy5];1;K;4'
5;20190403 leaves4 4'-[Cy5];1;M;4'
6;20190403 leaves4 4'-[Cy5];1;A;4'
7;20190403 leaves4 4'-[Cy5];1;L;4'
8;20190403 leaves4 4'-[Cy5];1;K;4'
9;20190403 leaves4 4'-[Cy5];1;M;4'
10;20190403 leaves4 4'-[Cy5];1;A;4'
11;20190403 leaves4 4'-[Cy5];1;L;4'
12;20190403 leaves4 4'-[Cy5];1;K;4'
13;20190403 leaves4 4'-[Cy5];1;M;4'
14;20190403 leaves4 4'-[Cy5];1;A;4'
15;20190403 leaves4 4'-[Cy5];1;L;4'
16;20190403 leaves4 4'-[Cy5];1;K;4'
17;20190403 leaves4 4'-[Cy5];1;L;4
18;20190403 leaves4 4'-[Cy5];1;K;4
19;20190403 leaves4 4'-[Cy5];1;M;4
20;20190403 leaves4 4'-[Cy5];1;A;4
21;20190403 leaves4 4'-[Cy5];1;L;4
22;20190403 leaves4 4'-[Cy5];1;K;4
23;20190403 leaves4 4'-[Cy5];1;M;4
24;20190403 leaves4 4'-[Cy5];1;A;4
25;20190403 leaves4 4'-[Cy5];1;L;4
26;20190403 leaves4 4'-[Cy5];1;K;4
27;20190403 leaves4 4'-[Cy5];1;M;4
28;20190403 leaves4 4'-[Cy5];1;A;4
29;20190403 leaves4 4'-[Cy5];1;L;4
30;20190403 leaves4 4'-[Cy5];1;K;4
31;20190403 leaves4 4'-[Cy5];1;M;4
32;20190403 leaves4 4'-[Cy5];1;A;4
33;20190403 leaves4 4'-[Cy5];1;O;4'
34;20190403 leaves4 4'-[Cy5];1;O;4'
35;20190403 leaves4 4'-[Cy5];1;O;4'
36;20190403 leaves4 4'-[Cy5];1;O;4'
37;20190403 leaves4 4'-[Cy5];1;O;4
